日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
1970-01-01 00:00:00.000010684,0,98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000010685,[1.],98.0009939100006,102.00103447775572,98.0009939100006,102.00103447775572
1970-01-01 00:00:00.000010686,[1.],97.99630243006284,101.99615150884092,97.99630243006284,101.99615150884092
1970-01-01 00:00:00.000010687,[1.],98.00004111211851,102.00004279016417,98.00004111211851,102.00004279016417
1970-01-01 00:00:00.000010688,[1.],97.99691845208739,101.99679267462156,97.99691845208739,101.99679267462156
1970-01-01 00:00:00.000010689,[1.],97.98772045113677,101.98721924506071,97.98772045113677,101.98721924506071
1970-01-01 00:00:00.000010690,[1.],98.00586637269744,102.00610581648102,98.00586637269744,102.00610581648102
1970-01-01 00:00:00.000010691,[1.],98.00754497993925,102.00785293830414,98.00754497993925,102.00785293830414
1970-01-01 00:00:00.000010692,[1.],97.98364543674774,101.98297790355377,97.98364543674774,101.98297790355377
1970-01-01 00:00:00.000010693,[1.],97.97003863915175,101.96881572646409,97.97003863915175,101.96881572646409
1970-01-01 00:00:00.000010694,[1.],97.95790355082855,101.9561853284134,97.95790355082855,101.9561853284134
1970-01-01 00:00:00.000010695,[1.],97.8923105831665,101.88791509676514,97.8923105831665,101.88791509676514
1970-01-01 00:00:00.000010696,[1.],97.82902651309739,101.8220480034279,97.82902651309739,101.8220480034279
1970-01-01 00:00:00.000010697,[1.],97.85796560976334,101.85216828771286,97.85796560976334,101.85216828771286
1970-01-01 00:00:00.000010698,[1.],97.83564853168792,101.82894030849153,97.83564853168792,101.82894030849153
1970-01-01 00:00:00.000010699,[1.],97.8617450455368,101.85610198617096,97.8617450455368,101.85610198617096
1970-01-01 00:00:00.000010700,[1.],97.94056331985779,101.9381373329132,97.94056331985779,101.9381373329132
1970-01-01 00:00:00.000010701,[1.],97.91270455887145,101.90914147964172,97.91270455887145,101.90914147964172
1970-01-01 00:00:00.000010702,[1.],97.93262155502394,101.92987141441269,97.93262155502394,101.92987141441269
1970-01-01 00:00:00.000010703,[1.],97.8950116589691,101.89072642055969,97.8950116589691,101.89072642055969
