日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-26,1,53.543419906315066,55.7288656167769,53.543419906315066,55.7288656167769
2023-12-27,1,53.754192170849194,55.94824083088386,53.754192170849194,55.94824083088386
2023-12-28,1,53.01827233700804,55.182283452804285,53.01827233700804,55.182283452804285
2023-12-29,1,51.809619601426476,53.924297952505114,51.809619601426476,53.924297952505114
2024-01-01,1,51.0082010479481,53.090168437660274,51.0082010479481,53.090168437660274
2024-01-02,1,50.37308501855517,52.42912930502682,50.37308501855517,52.42912930502682
2024-01-03,1,48.96975581248731,50.968521355854136,48.96975581248731,50.968521355854136
2024-01-04,1,49.149065879638165,51.155150201256056,49.149065879638165,51.155150201256056
2024-01-05,1,49.33532514299165,51.349011883521925,49.33532514299165,51.349011883521925
2024-01-08,1,50.171962227456014,52.21979742041341,50.171962227456014,52.21979742041341
2024-01-09,1,50.0125924133059,52.05392271588982,50.0125924133059,52.05392271588982
2024-01-10,1,51.21538137020822,53.30580509960447,51.21538137020822,53.30580509960447
2024-01-11,1,51.14508590658356,53.2326404333829,51.14508590658356,53.2326404333829
2024-01-12,1,50.44727979587395,52.50635244060351,50.44727979587395,52.50635244060351
2024-01-15,1,50.50964046313341,52.57125844122049,50.50964046313341,52.57125844122049
2024-01-16,1,51.52090893066399,53.62380317273191,51.52090893066399,53.62380317273191
2024-01-17,1,51.05862082291371,53.14264616262447,51.05862082291371,53.14264616262447
2024-01-18,1,51.1437131533357,53.231211649390225,51.1437131533357,53.231211649390225
2024-01-19,1,51.10482186436393,53.19073296086857,51.10482186436393,53.19073296086857
2024-01-22,1,51.69017155715975,53.799974477860154,51.69017155715975,53.799974477860154
2024-01-23,1,51.19409478030236,53.2836496692943,51.19409478030236,53.2836496692943
2024-01-24,1,51.024930797402305,53.10758103403097,51.024930797402305,53.10758103403097
2024-01-25,1,50.39949345114877,52.45661563282832,50.39949345114877,52.45661563282832
2024-01-26,1,51.1826188665135,53.27170535086099,51.1826188665135,53.27170535086099
2024-01-29,1,51.92161091936937,54.04086034464976,51.92161091936937,54.04086034464976
2024-01-30,1,50.91932966600515,52.9976696523727,50.91932966600515,52.9976696523727
2024-01-31,1,51.47877940199593,53.57995407146516,51.47877940199593,53.57995407146516
2024-02-01,1,51.52892798821356,53.63214953875289,51.52892798821356,53.63214953875289
2024-02-02,1,51.13581389259538,53.22298996984418,51.13581389259538,53.22298996984418
2024-02-05,1,50.833444099762666,52.9082785528142,50.833444099762666,52.9082785528142
2024-02-06,1,50.55603450819958,52.619546120779155,50.55603450819958,52.619546120779155
2024-02-07,1,50.55518367910639,52.61866056396788,50.55518367910639,52.61866056396788
2024-02-08,1,49.84718826564814,51.88176737853175,49.84718826564814,51.88176737853175
2024-02-09,1,49.02877024429051,51.029944539975844,49.02877024429051,51.029944539975844
2024-02-12,1,49.438452005635035,51.456348005865046,49.438452005635035,51.456348005865046
2024-02-13,1,50.1700367757056,52.21779337879562,50.1700367757056,52.21779337879562
2024-02-14,1,50.650844140004224,52.718225533473785,50.650844140004224,52.718225533473785
2024-02-15,1,51.02615656547673,53.10885683345537,51.02615656547673,53.10885683345537
2024-02-16,1,51.48800330136246,53.58955445652011,51.48800330136246,53.58955445652011
2024-02-19,1,53.78841883252776,55.98386449916155,53.78841883252776,55.98386449916155
2024-02-20,1,53.03354867650217,55.1981833163594,53.03354867650217,55.1981833163594
2024-02-21,0,55.58149211634745,57.85012444762694,55.58149211634745,57.85012444762694
2024-02-22,1,54.849960914062024,57.0887348289217,54.849960914062024,57.0887348289217
2024-02-23,0,56.13954544577857,58.430955463973625,56.13954544577857,58.430955463973625
2024-02-26,1,55.9739042566963,58.25855341003084,55.9739042566963,58.25855341003084
2024-02-27,0,56.61010336834444,58.9207198323585,56.61010336834444,58.9207198323585
2024-02-28,-1,57.38643992416161,59.72874359453556,57.38643992416161,59.72874359453556
2024-02-29,1,56.88822189416994,59.21019013474831,56.88822189416994,59.21019013474831
2024-03-01,-1,57.2804360314462,59.618413012321554,57.2804360314462,59.618413012321554
2024-03-04,1,55.82127359241892,58.09969292272173,55.82127359241892,58.09969292272173
